,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,10 x protein,is_good
0,100% Bran,N,C,70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,68.402973,40,True
1,100% Natural Bran,Q,C,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,33.983679,30,False
2,All-Bran,K,C,70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,59.425505,40,True
3,All-Bran with Extra Fiber,K,C,50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912,40,True
4,Almond Delight,R,C,110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843,20,False
5,Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541,20,False
6,Apple Jacks,K,C,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,33.174094,20,False
7,Basic 4,G,C,130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,37.038562,30,False
8,Bran Chex,R,C,90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253,20,False
9,Bran Flakes,P,C,90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,53.313813,30,True
10,Cap'n'Crunch,Q,C,120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,18.042851,10,False
11,Cheerios,G,C,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,50.764999,60,True
12,Cinnamon Toast Crunch,G,C,120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,19.823573,10,False
13,Clusters,G,C,110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,40.400208,30,False
14,Cocoa Puffs,G,C,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,22.736446,10,False
15,Corn Chex,R,C,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019,20,False
16,Corn Flakes,K,C,100,2,0,290,1.0,21.0,2,35,25,1,1.0,1.0,45.863324,20,False
17,Corn Pops,K,C,110,1,0,90,1.0,13.0,12,20,25,2,1.0,1.0,35.782791,10,False
18,Count Chocula,G,C,110,1,1,180,0.0,12.0,13,65,25,2,1.0,1.0,22.396513,10,False
19,Cracklin' Oat Bran,K,C,110,3,3,140,4.0,10.0,7,160,25,3,1.0,0.5,40.448772,30,False
20,Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,64.533816,30,True
21,Crispix,K,C,110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,46.895644,20,False
22,Crispy Wheat & Raisins,G,C,100,2,1,140,2.0,11.0,10,120,25,3,1.0,0.75,36.176196,20,False
23,Double Chex,R,C,100,2,0,190,1.0,18.0,5,80,25,3,1.0,0.75,44.330856,20,False
24,Froot Loops,K,C,110,2,1,125,1.0,11.0,13,30,25,2,1.0,1.0,32.207582,20,False
25,Frosted Flakes,K,C,110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,31.435973,10,False
26,Frosted Mini-Wheats,K,C,100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,58.345141,30,True
27,Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,40.917047,30,False
28,Fruitful Bran,K,C,120,3,0,240,5.0,14.0,12,190,25,3,1.33,0.67,41.015492,30,False
29,Fruity Pebbles,P,C,110,1,1,135,0.0,13.0,12,25,25,2,1.0,0.75,28.025765,10,False
30,Golden Crisp,P,C,100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,35.252444,20,False
31,Golden Grahams,G,C,110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,23.804043,10,False
32,Grape Nuts Flakes,P,C,100,3,1,140,3.0,15.0,5,85,25,3,1.0,0.88,52.076897,30,True
33,Grape-Nuts,P,C,110,3,0,170,3.0,17.0,3,90,25,3,1.0,0.25,53.371007,30,True
34,Great Grains Pecan,P,C,120,3,3,75,3.0,13.0,4,100,25,3,1.0,0.33,45.811716,30,False
35,Honey Graham Ohs,Q,C,120,1,2,220,1.0,12.0,11,45,25,2,1.0,1.0,21.871292,10,False
36,Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1.0,0.75,31.072217,30,False
37,Honey-comb,P,C,110,1,0,180,0.0,14.0,11,35,25,1,1.0,1.33,28.742414,10,False
38,Just Right Crunchy  Nuggets,K,C,110,2,1,170,1.0,17.0,6,60,100,3,1.0,1.0,36.523683,20,False
39,Just Right Fruit & Nut,K,C,140,3,1,170,2.0,20.0,9,95,100,3,1.3,0.75,36.471512,30,False
40,Kix,G,C,110,2,1,260,0.0,21.0,3,40,25,2,1.0,1.5,39.241114,20,False
41,Life,Q,C,100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,45.328074,40,False
42,Lucky Charms,G,C,110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,26.734515,20,False
43,Maypo,A,H,100,4,1,0,0.0,16.0,3,95,25,2,1.0,1.0,54.850917,40,True
44,Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3.0,16.0,11,170,25,3,1.0,1.0,37.136863,40,False
45,Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3.0,16.0,11,170,25,3,1.0,1.0,34.139765,40,False
46,Mueslix Crispy Blend,K,C,160,3,2,150,3.0,17.0,13,160,25,3,1.5,0.67,30.313351,30,False
47,Multi-Grain Cheerios,G,C,100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,40.105965,20,False
48,Nut&Honey Crunch,K,C,120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,29.924285,20,False
49,Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232,30,False
50,Nutri-grain Wheat,K,C,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,59.642837,30,True
51,Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,30,False
52,Post Nat. Raisin Bran,P,C,120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,37.840594,30,False
53,Product 19,K,C,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,41.50354,30,False
54,Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,60.756112,10,True
55,Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,63.005645,20,True
56,Quaker Oat Squares,Q,C,100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,49.511874,40,False
57,Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392,50,True
58,Raisin Bran,K,C,120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,39.259197,30,False
59,Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,39.7034,30,False
60,Raisin Squares,K,C,90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,55.333142,20,True
61,Rice Chex,R,C,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,41.998933,10,False
62,Rice Krispies,K,C,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159,20,False
63,Shredded Wheat,N,C,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,68.235885,20,True
64,Shredded Wheat 'n'Bran,N,C,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949,30,True
65,Shredded Wheat spoon size,N,C,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787,30,True
66,Smacks,K,C,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054,20,False
67,Special K,K,C,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324,60,True
68,Strawberry Fruit Wheats,N,C,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.363993,20,True
69,Total Corn Flakes,G,C,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746,20,False
70,Total Raisin Bran,G,C,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785,30,False
71,Total Whole Grain,G,C,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844,30,False
72,Triples,G,C,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106174,20,False
73,Trix,G,C,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301,10,False
74,Wheat Chex,R,C,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445,30,False
75,Wheaties,G,C,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193,30,True
76,Wheaties Honey Gold,G,C,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559,20,False
